Casagrande D.G,McLlvaine-Newsad H
Casagrande D.G,Jones E.C.
McLlvaine-Newsad H,Jones E.C.
Bowman B,Stevens G
Bowman B,Eagle G
Bowman B,Langa M
Bowman B,Kramer S
Bowman B,Kiguwa P
Bowman B,Nduna M.
Stevens G,Eagle G
Stevens G,Langa M
Stevens G,Kramer S
Stevens G,Kiguwa P
Stevens G,Nduna M.
Eagle G,Langa M
Eagle G,Kramer S
Eagle G,Kiguwa P
Eagle G,Nduna M.
Langa M,Kramer S
Langa M,Kiguwa P
Langa M,Nduna M.
Kramer S,Kiguwa P
Kramer S,Nduna M.
Kiguwa P,Nduna M.
Goetz S.J,Davlasheridze M
Goetz S.J,Han Y.
Davlasheridze M,Han Y.
Husain S,Yasmin S
Husain S,Islam M.S.
Yasmin S,Islam M.S.
Alexseev M.A,Zhemukhov S.N.
Inaba Y,Wada Y
Inaba Y,Ichida Y
Inaba Y,Nishikawa M.
Wada Y,Ichida Y
Wada Y,Nishikawa M.
Ichida Y,Nishikawa M.
Chan E.Y,Saqib N.U.
Wang C.-H,Yen C.-D
Wang C.-H,Liu G.H.W.
Yen C.-D,Liu G.H.W.
Yu G,Sessions J.G
Yu G,Fu Y
Yu G,Wall M.
Sessions J.G,Fu Y
Sessions J.G,Wall M.
Fu Y,Wall M.
Sieverding M,Liu J
Sieverding M,Beyeler N.
Liu J,Beyeler N.
Rönnerstrand B,Andersson Sundell K.
Grieve R,Kemp N.
Hoskins B,Saisana M
Hoskins B,Villalba C.M.H.
Saisana M,Villalba C.M.H.
Hunt C.A,Durham W.H
Hunt C.A,Menke C.M.
Durham W.H,Menke C.M.
Nielsen L,Koushede V
Nielsen L,Vinther-Larsen M
Nielsen L,Bendtsen P
Nielsen L,Ersbøll A.K
Nielsen L,Due P
Nielsen L,Holstein B.E.
Koushede V,Vinther-Larsen M
Koushede V,Bendtsen P
Koushede V,Ersbøll A.K
Koushede V,Due P
Koushede V,Holstein B.E.
Vinther-Larsen M,Bendtsen P
Vinther-Larsen M,Ersbøll A.K
Vinther-Larsen M,Due P
Vinther-Larsen M,Holstein B.E.
Bendtsen P,Ersbøll A.K
Bendtsen P,Due P
Bendtsen P,Holstein B.E.
Ersbøll A.K,Due P
Ersbøll A.K,Holstein B.E.
Due P,Holstein B.E.
Fortenberry B,Carlson J.
Gurven M,Jaeggi A.V
Gurven M,Von Rueden C
Gurven M,Hooper P.L
Gurven M,Kaplan H.
Jaeggi A.V,Von Rueden C
Jaeggi A.V,Hooper P.L
Jaeggi A.V,Kaplan H.
Von Rueden C,Hooper P.L
Von Rueden C,Kaplan H.
Hooper P.L,Kaplan H.
Akın U,Akın A.
Marin A,Mitchell R.K
Marin A,Lee J.H.
Mitchell R.K,Lee J.H.
Dean L.T,Hillier A
Dean L.T,Chau-Glendinning H
Dean L.T,Subramanian S.V
Dean L.T,Williams D.R
Dean L.T,Kawachi I.
Hillier A,Chau-Glendinning H
Hillier A,Subramanian S.V
Hillier A,Williams D.R
Hillier A,Kawachi I.
Chau-Glendinning H,Subramanian S.V
Chau-Glendinning H,Williams D.R
Chau-Glendinning H,Kawachi I.
Subramanian S.V,Williams D.R
Subramanian S.V,Kawachi I.
Williams D.R,Kawachi I.
Seun A.O,Kalsom A.W.
Burganov R.A,Mixailovich B.G
Burganov R.A,Raisovich B.B.
Mixailovich B.G,Raisovich B.B.
Vancea M,Boso Á.
